NCTId,Histology,CUI
NCT03755102,Adenocarcinoma,C0001418
NCT04511533,Non Small Cell Lung Cancer,C0007131
NCT01858389,Non Small Cell Lung Cancer,C0007131
NCT01360554,Non Small Cell Lung Cancer,C0007131
NCT00769067,Non-Small Cell Lung Cancer,C0007131
NCT01774721,Adenocarcinoma,C0001418
NCT01000025,Non Small Cell Lung Cancer,C0007131
NCT01465802,Non-Small Cell Lung Carcinoma,C0007131
NCT00553254,NULL,
NCT00548093,NULL,
NCT00818441,Adenocarcinoma,C0001418
NCT00728390,NULL,
NCT01608022,Squamous cell carcinoma,C0349656
NCT00030407,Non Small Cell Lung Cancer,C0007131
NCT00260026,Non Small Cell Lung Cancer,C0007131
NCT00103389,Non Small Cell Lung Cancer,C0007131
NCT00075374,NULL,
NCT03798743,Non-Small Cell Lung Cancer,C0007131
NCT00030420,Non Small Cell Lung Cancer,C0007131
NCT01362400,Non Small Cell Lung Cancer,C0007131
NCT02658747,Non Small Cell Lung Cancer,C0007131
NCT00582634,Non Small Cell Lung Cancer,C0007131
NCT00995761,Non small Cell Lung Cancer,C0007131
NCT01824901,Non Small Cell Lung Cancer,C0007131
NCT00003900,Non small Cell Lung Cancer,C0007131
NCT01107444,Non Small Cell Lung Cancer,C0007131
NCT03394105,Adenocarcinoma,C0001418
NCT00064012,Non Small Cell Lung Cancer,C0007131
NCT00193453,Non Small Cell Lung Cancer,C0007131
NCT03095612,Non small Cell Lung Cancer,C0007131
NCT00003762,NULL,
NCT02358473,Non-small Cell Lung Cancer,C0007131
NCT00532155,Non Small Cell Lung Cancer,C0007131
NCT02364362,Non Small Cell Lung Cancer,C0007131
NCT00231465,Non Small Cell Lung Cancer,C0007131
NCT00405951,Non Small Cell Lung Cancer,C0007131
NCT01138163,Non-Small Cell Lung Cancer,C0007131
NCT01905657,Non Small Cell Lung Cancer,C0007131
NCT00278460,Non Small Cell Lung Cancer,C0007131
NCT00312377,Non-small Cell Lung Cancer,C0007131
NCT01642004,Squamous Cell Non small Cell Lung Cancer,C4509816
NCT00544960,Non Small Cell Lung Cancer,C0007131
NCT00222144,NULL,
NCT00114192,NULL,
NCT01350817,Non Small Cell Lung Cancer,C0007131
NCT02531737,Lung Cancer,C0242379
NCT00201825,Non Small Cell Lung Cancer,C0007131
NCT00005868,NULL,
NCT00281970,NULL,
NCT00004139,Non-small Cell Lung Cancer,C0007131
NCT01362296,Non-small Cell Lung Cancer,C0007131
NCT00132639,Non Small Cell Lung Cancer,C0007131
NCT00390429,Non Small Cell Lung Cancer,C0007131
NCT00227708,Non Small Cell Lung Cancer,C0007131
NCT00173888,Non Small Cell Lung Cancer,C0007131
NCT02283320,Squamous cell carcinoma,C0349656
NCT02283320,Non Small Cell Lung Cancer,C0007131
NCT00080080,Non Small Cell Lung Cancer,C0007131
NCT00062439,Adenocarcinoma,C0001418
NCT00062439,Squamous cell carcinoma,C0349656
NCT00062439,Carcinoma,C0007097
NCT00062439,Large Cell,C0334248
NCT00062439,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00062439,Carcinoid Tumor,C0007095
NCT00062439,Adenosquamous carcinoma,C0206623
NCT00062439,spindle cell,C0349656
NCT00148291,NULL,
NCT01750281,Non Small Cell Lung Cancer,C0007131
NCT00434668,Non Small Cell Lung Cancer,C0007131
NCT00193245,Non Small Cell Lung Cancer,C0007131
